Name
Denis Villeneuve
Michael Gracey
Timothée Chalamet
Zendaya
Rebecca Ferguson
Zac Efron
Hugh Jackman
Vanessa Hudgens
Ashley Tisdale
Kenny Ortega
Sarah Jessica Parker
Vinessa Shaw
Lin-Manuel Miranda
Paul Jacobs
Anthony Ramos
Daveed Diggs
Taylor Swift
James Corden
Jason Derulo
Thomas Kail
Tom Hooper
Chris Renaud
Danny DeVito
Nicholas Stoller
Rose Byrne
Dave Franco
Paul Feig
Melissa McCarthy
Ben Falcone
Debby Ryan
Ariel Schulman
Emma Roberts
Thor Freudenthal
Jake T. Austin
Jon M. Chu
Bradley Cooper
Lady Gaga
David O. Russel
Jennifer Lawrence
Gary Ross
Josh Hutcherson
Liam Hemsworth
Francis Lawrence
Frank Herbert
Scott Brick
Nicholas Sparks
Mela Lee
Kyf Brewer
Johnny Heller
Benjamin Alire Sáenz
Tim McGraw
Stephanie Meyer
Ilyana Kadushin
Norbert Leo Butz
Phil Knight
Sara Nisha Adams
Tara Divina
Liane Moriarty
Caroline Lee
Tamara Lovatt Smith
J.K. Rowling
Jim Dale
Olivia Rodrigo
Billie Eilish
Bo Burnham
Harry Styles
Conan Gray
Clairo
Justin Bieber
Coldplay
