Title,Year,Length,Media_type,Creator_name
Dune,2022,155,Movie,Denis Villeneuve
The Greatest Showman,2017,105,Movie,Michael Gracey
High School Musical,2006,98,Movie,Kenny Ortega
Hocus Pocus,1993,96,Movie,Kenny Ortega
Clayton's Friends,1996,59,Movie,Lin-Manuel Miranda
Hamilton,2020,160,Movie,Thomas Kail
Cats,2019,110,Movie,Tom Hooper
The Lorax,2012,86,Movie,Chris Renaud
Neighbors,2014,97,Movie,Nicholas Stoller
Spy,2015,130,Movie,Paul Feig
Life of the Party,2018,105,Movie,Ben Falcone
Neighbors 2: Sorority Rising,2016,92,Movie,Nicholas Stoller
Nerve,2016,96,Movie,Ariel Schulman
Hotel for Dogs,2009,100,Movie,Thor Freudenthal
In The Heights,2021,143,Movie,Jon M. Chu
A Star Is Born,2018,135,Movie,Bradley Cooper
Silver Linings Playbook,2012,122,Movie,David O. Russel
The Hunger Games,2012,142,Movie,Gary Ross
The Hunger Games: Catching Fire,2013,146,Movie,Francis Lawrence
The Hunger Games: Mockingjay Part 1,2014,123,Movie,Francis Lawrence
Sour,2021,35,Album,Olivia Rodrigo
Happier Than Ever,2021,56,Album,Billie Eilish
"When We All Fall Asleep, Where Do We Go?",2019,43,Album,Billie Eilish
Inside (The Songs),2021,57,Album,Bo Burnham
In The Heights (Original Motion Picture Soundtrack),2021,71,Album,Lin-Manuel Miranda
Here On Earth,2020,61,Album,Tim McGraw
Taylor Swift,2006,53,Album,Taylor Swift
evermore,2020,60,Album,Taylor Swift
folklore,2020,35,Album,Taylor Swift
Fine Line,2019,47,Album,Harry Styles
Overdrive,2021,3,Album,Conan Gray
Kid Krow,2020,35,Album,Conan Gray
Sunset Season,2018,35,Album,Conan Gray
Sling,2021,45,Album,Clairo
Immunity,2019,41,Album,Clairo
Justice,2021,35,Album,Justin Bieber
Music Of The Spheres,2021,35,Album,Coldplay
Parachutes,2000,45,Album,Coldplay
X&Y,2005,41,Album,Coldplay
Lover,2019,59,Album,Taylor Swift
Dune,2007,1262,Audiobook,Frank Herbert
Dune Messiah,2007,537,Audiobook,Frank Herbert
The Wish,2021,702,Audiobook,Nicholas Sparks
The Return,2020,596,Audiobook,Nicholas Sparks
The Rescue,2005,620,Audiobook,Nicholas Sparks
Aristoltle and Dante Dive into the Waters of the World,2021,603,Audiobook,Benjamin Alire Sáenz
Grit & Grace,2019,439,Audiobook,Tim McGraw
Twilight (Unabridged),2005,772,Audiobook,Stephanie Meyer
New Moon (Unabridged),2006,891,Audiobook,Stephanie Meyer
Breaking Dawn (Unabridged),2008,1228,Audiobook,Stephanie Meyer
Eclipse (Unabridged),2007,986,Audiobook,Stephanie Meyer
She Dog,2016,801,Audiobook,Phil Knight
The Reading List,2021,767,Audiobook,Sara Nisha Adams
Apples Never Fall,2021,1083,Audiobook,Liane Moriarty
Nine Perfect Strangers,2018,983,Audiobook,Liane Moriarty
The Husband's Secret (Unabridged),2013,824,Audiobook,Liane Moriarty
What Alice Forgot,2011,812,Audiobook,Liane Moriarty
Harry Potter and the Chamber of Secrets,2015,564,Audiobook,J.K. Rowling
Harry Potter and the Sorcerer's Stone,2015,513,Audiobook,J.K. Rowling
Harry Potter and the Prisoner of Azkaban,2015,735,Audiobook,J.K. Rowling
